Checkpoint,Tiempo Absoluto (seg),Tiempo Desde Anterior (seg),Muertes entre checkpoints,Muertes totales,Disparos Blaster,Acertados Blaster,Fallados Blaster,Precisión Blaster (%),Disparos Escopeta,Acertados Escopeta,Fallados Escopeta,Precisión Escopeta (%),Disparos Totales,Acertados Totales,Fallados Totales,Precisión Total (%)
Evento,Tiempo (seg),Causa de Muerte
Checkpoint_1,0.38,0.00,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Checkpoint_2,32.04,31.66,0,0,74,42,32,56.8,0,0,0,0.0,74,42,32,56.8
Checkpoint_3,53.44,21.40,0,0,55,27,28,49.1,0,0,0,0.0,55,27,28,49.1
Muerte,66.54,Caida
Checkpoint_4,85.94,32.50,1,1,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
Muerte,103.63,Enemy_HoverBot(Clone)
Muerte,109.75,Caida
Muerte,114.14,Caida
